Customer ID;AVERAGE_QT_AMT;total_spends
17556;10;17.97
14723;3;404.79
18223;10;1175.47
14494;11;19.86
13953;500;6.25
13183;26;107.93
13724;3;90.18
16034;9;79.88
12954;8;31.15
16683;9;63.21
15264;5;129.13
17224;8;57.14
17765;2;107.27
12413;2;118.7
16892;3;156.46
13787;10;220.22
15868;14;10.07
12788;7;107.1
14328;0;1335.16
17433;3;109.5
16560;7;609.66
13392;10;11.57
15702;3;102.48
14391;12;11.3
18100;14;62.33
17101;11;132.54
17559;22;9.44
12851;1;99.5
14932;8;249.39
15161;4;61.75
17768;14;194.01
13455;5;510.13
16769;3;321.44
17227;13;90.49
14225;12;262.84
14766;12;593.81
16306;9;79.75
13996;18;119.25
15536;15;23.79
13226;8;30.5
17436;6;39.81
13289;7;70.25
16895;3;344.73
13830;3;99.85
16140;17;78.83
12519;8;78.63
14829;10;156.59
16437;9;43.55
17977;18;135.12
15370;11;162.52
14600;12;70.85
16563;29;167.46
17645;-2;4.95
13664;-1;13.14
12894;1;118.3
13123;5;144.67
18103;2;48.55
14663;5;152.95
17104;7;86.39
12353;9;38.78
13498;21;38.51
15808;8;2203.05
16772;6;496.6
13727;3;442.06
12957;8;1003.4
14497;8;40.98
17771;5;56.19
14268;7;65.25
15038;1;469.77
12728;8;59.52
15642;45;2.5
13561;4;494.4
17439;46;17.71
14872;13;76.97
12791;11;544.66
15101;7;308.69
16981;-1;4620.86
16440;3;73.4
15871;1;33.1
12562;14;140.37
17980;2;105.24
16246;3;257.5
17107;10;784.73
12396;9;149.46
18189;14;34.9
14706;9;79.74
12625;17;235.71
17648;13;62.66
14935;62;17.78
16649;4;136.19
15476;14;229.8
13395;22;97.24
13936;10;95.46
13166;11;79.41
13770;9;165.66
14769;11;882.7
13999;10;745.72
14540;6;731.72
13000;4;147.55
17857;467;4.86
12459;11;95.42
16775;4;485.38
15310;32;72.55
16080;6;72.95
17316;1;99.1
16143;8;417.25
15144;16;473.51
13604;10;118.55
16984;3;2888.79
15373;3;361.2
16443;96;1.69
14374;2;58.55
13063;9;27.5
17525;15;77.35
17983;4;67.42
13833;7;65.24
15914;11;45.12
17193;29;41.13
12668;9;1320.63
16652;25;731.59
14978;2;576.76
17651;9;297.36
14437;9;146.15
15207;14;44.96
13438;10;4.65
14208;16;59.62
12897;13;42.05
15748;13;55.55
17860;4;459.34
14042;8;78.54
17319;4;6.15
12731;26;409.53
14812;3;79.42
13501;10;227.63
16861;10;120.11
15041;2;54.98
14271;2;71.98
15811;4;554.8
16987;1;531.97
14646;93;5681.19
16186;12;616.94
14105;12;616.84
15416;8;119.21
18069;3;1133.23
13335;-1;955.06
14875;17;201
16446;-2;4.5
15645;7;75.68
13106;14;208.41
14480;9;146.82
14709;10;688.48
15479;4;45.4
16655;4;1038.46
12399;20;99.8
13939;11;151.45
15250;16;3.75
13710;22;15.39
13169;4;28.85
17196;1;250.95
18195;12;12.09
14543;8;1214.11
17322;3;380.14
15854;6;453.35
13773;9;50.12
17863;18;205.78
15084;19;184.74
13544;1;422.38
16864;16;38
12774;8;23.8
14314;11;9.15
16083;15;81.4
15917;1;332.47
17531;6;234.6
14918;19;402.02
16532;264;7.57
12837;2;299.82
15688;3;64.37
16990;100;1.65
13378;-1;756.4
13607;6;100.29
14148;14;30.97
15751;3;675.53
14211;9;386.51
17740;24;19.73
13982;10;344.85
16658;3;284.05
17199;33;7.19
12671;32;122.691
16292;10;274.04
18281;9;19.01
14981;8;39
13441;12;66.01
16126;15;816.71
14045;100;130.11
17866;21;66.5
16867;9;9.17
13275;2;105.58
17408;12;27.48
15356;1;509.53
12505;6;204.75
16355;2;156.57
17076;8;65.97
14420;11;224.3
14649;3;1222
16535;7;98.66
13650;8;277
17534;9;230.88
13879;8;81.81
13109;9;79.4
18075;9;700.26
15960;9;109.25
15190;19;90.49
15794;19;50.65
14483;24;5
13713;3;233.81
13484;5;139.85
12943;8;131.5
15253;10;167.85
17743;16;11.75
15024;5;579.64
17202;6;23.5
18284;17;116.09
14254;11;56.99
17411;6;130.52
15628;11;454.14
16412;2;263.88
17952;4;249.82
16870;9;77.96
14858;9;21.45
12777;17;83.21
14088;26;1936.43
15857;27;17.77
13547;1;136.24
13381;16;544.59
15691;10;49.55
14151;8;141.59
18078;5;132.53
16538;5;83.3
14692;6;281.68
16232;18;140.29
13922;13;69.3
15462;10;74.8
18287;16;244.34
14755;8;993.08
13985;11;362.41
15296;10;1092.95
17746;19;78.67
12445;6;59.59
17288;3;505.22
13215;96;0.85
14526;4;84.53
15525;3;220.99
13819;17;145.91
17414;277;7.37
15359;7;21.92
16415;3;230.63
17955;136;3.16
15900;5;170.56
16129;13;332.57
13049;24;30.74
14589;1;23.85
17082;16;222.86
14194;10;1148.53
17623;3;785.07
14423;22;33.32
15734;10;368.1
13653;8;25.05
13487;6;70.27
15797;102;6.21
14798;11;67.51
14257;12;268.5
15027;28;207.66
12717;5;95.39
14861;10;206.91
14091;255;40.84
17958;6;94.27
15631;13;87.52
15402;14;300.86
16172;14;88.33
16418;4;232.57
15465;9;756.13
14695;6;311.8
14466;11;371.72
17626;11;33.81
16235;6;414.4
13155;5;211.12
17168;10;68.85
16006;1;179.76
12385;9;254.25
15299;312;50
15070;10;115.75
12989;104;118.43
17294;17;45.88
16836;12;79.25
16069;5;129.55
15903;34;141.47
15674;9;837.19
12823;53;86.05
13593;5;1042.45
15133;14;63.99
18044;7;303.32
14363;13;27.42
14904;7;120.96
16962;10;40.24
14967;21;382.43
18170;8;415.1
13427;14;40.84
17171;4;63.64
16278;6;212.98
14197;7;93.5
16630;14;7.65
15571;3;1461
14031;15;2433.68
16839;27;328.8
17838;11;548.94
16341;19;134.97
17380;22;27.5
15176;8;233.17
17048;9;134.15
15946;62;66
15405;7;102.17
16507;2;84.54
16175;9;120.45
14635;7;58.15
18047;1;246.44
14469;6;573.16
16716;132;9.2
17715;192;0.85
13699;5;150.31
18256;18;8.24
15614;18;305.34
15073;8;433.1
16384;12;93.97
17383;6;11.2
14303;9;32.35
17924;17;30.9
12763;12;28.99
17592;0;103.1
14907;7;506.63
14137;28;11.73
16510;8;440.81
17051;2;197.01
16218;11;157.35
15677;9;135.45
13367;12;92.2
18050;11;61.57
18259;13;153.85
16719;5;897.8
12431;10;678.53
13971;11;275.21
16281;27;60.18
13201;11;196.83
17718;8;46.35
17260;3;61.15
14741;10;53.9
17927;10;30.15
16928;4;564.48
16387;4;308.43
15886;10;171.17
16115;4;348.12
14575;2;238.51
13035;18;34.34
17386;5;23.05
15179;15;714.04
16596;7;65.54
12869;3;95.32
14409;20;102.9
13639;10;36.47
18136;8;192.37
17804;2;254.27
16722;18;290.1
13473;13;226.16
15013;4;564.11
12703;6;203.52
18262;12;51.65
14243;10;831.42
16158;5;255.47
16390;5;119.55
17930;42;85.59
17472;1;151.42
13307;9;44.79
14847;7;233.35
15617;11;134.75
14077;7;33.8
16931;2;229.1
12537;10;125.68
13141;12;677.13
13911;18;202.53
14681;7;72.15
12371;8;421.85
15451;1;190.71
16221;4;543.12
16599;13;32.75
17598;12;32.69
12975;7;590.61
17807;2;206.99
17266;1;143.31
13745;19;35.08
14515;9;222.64
15285;20;5.67
16393;3;886.09
15889;2;837.98
18016;3;161.5
13579;8;234.56
12809;4;451.94
16934;6;323.87
13413;8;89.36
12643;83;249.46
15723;4;245.79
17143;2;416.14
14183;1;188.72
14953;3;406.15
16602;5;62.2
16327;9;1361.33
17352;3;17.25
17810;2;274.78
12477;9;1044.22
14017;5;65.15
14787;3;34.32
17269;2;331.38
14621;8;212.31
13081;16;2821.22
12540;14;1186.9
16161;5;1893.69
13851;13;206.75
17478;12;138.03
15391;8;84.86
16937;2;101.45
16605;144;0.42
17146;7;1135.51
12915;5;304.57
12374;20;149.47
14455;8;112.69
17687;8;73.44
15995;3;306.12
15059;2;1121.24
12978;8;430.16
16814;4;1751.9
12749;5;1109.23
13519;10;32.04
17355;6;77.18
12583;17;686.08
14123;9;78.59
17023;10;126.93
14893;6;111.23
18022;2;635.75
13353;-1;28.85
12417;7;1020.33
18231;7;1117.02
15497;21;403.96
17690;10;530.74
13957;5;141.5
13187;9;19.96
16267;28;8.72
16691;8;71.36
14727;0;60.96
17149;3;47.7
13021;8;480.85
17358;2;292.25
15331;15;83.66
16101;9;356.67
12480;13;321.99
13250;5;53.42
16817;9;178.93
16485;7;382.85
15935;-13;46.16
18025;9;214.4
14395;5;1423.22
13625;6;113.71
17567;8;167.65
13084;34;3.4
17026;8;16.55
12855;3;362.75
15165;5;134.65
15769;202;168.24
16694;8;50
13459;13;166.6
12918;0;32860.5
14999;9;29.12
17235;10;188.62
18234;2;70.75
14229;9;182.73
13293;7;245.15
14063;87;39920.95
12523;8;653.18
17361;7;73.53
15603;7;3.75
17902;21;31.36
14833;8;14
16373;4;83.65
16903;3;298.17
14667;9;2615.33
12586;7;443.82
13897;14;98.7
16571;13;346.57
17029;32;63.08
15437;8;40.91
18111;7;135.4
17570;0;200
12357;23;1395.64
17238;2;1915.91
13190;17;96.31
15271;3;878.24
12961;4;65.05
17905;6;537.96
15875;3;43.87
13024;5;170.37
15105;10;132.58
16906;2;454.42
13794;7;32.99
13565;4;50.83
17115;5;469.3
12858;1;178.31
16574;10;115.2
13628;6;66.17
14939;-1;934.66
15709;2;110.21
13399;8;54.15
14169;3;260.67
12629;16;179.9
14003;9;47.15
13462;10;148.48
13233;18;76.05
17241;5;794.28
12692;2;40.6
14773;4;54.95
15543;2;60.85
16783;6;83.45
17782;18;51.1
14607;29;406.93
16451;7;132.73
16147;9;340.7
13296;11;87.33
17991;2;154.38
17450;130;289.23
13067;5;88.3
15377;11;111
14670;1;127.96
14441;7;656.81
16577;6;97.6
12360;14;278.22
13900;9;144
15981;14;578.08
17659;6;212.43
13671;1;146
15211;5;118.79
13734;7;280.33
14275;23;44.74
17785;4;110.31
17327;14;18.66
12964;2;94.17
16786;72;0.72
14879;3;83.59
16454;0;20.05
17994;7;634.42
14338;15;35.23
12798;127;21.34
15649;29;60.7
16995;-1;1.25
18203;1;224.03
14713;4;779.97
16253;15;396.18
14942;17;87.44
13173;6;650.18
16663;100;1.65
13402;11;156.13
17121;8;44.84
17662;12;68.31
15483;3;310.46
14172;1;304.14
12403;41;28.53
13943;6;66.08
12632;17;98.67
13777;64;501.89
15317;6;19.7
17871;7;240.69
16087;66;24.1
12466;1;56.73
17330;1;59.9
14006;32;72.38
13007;5;65.95
14776;19;88.74
15380;33;53.1
13611;7;448.94
17539;4;574.79
13070;9;52.7
15921;3;253.1
12841;9;691.83
15151;13;786.34
14610;1;20.1
14381;5;96.01
16998;14;8
13840;8;114.98
14215;11;298.99
15755;11;580.12
17207;3;130.67
12675;2;450.77
13445;28;13.79
16666;7;41.65
18206;12;27.27
17665;36;28.75
14444;13;16.44
13674;6;73.39
14819;1;161.57
16875;7;516.08
16359;9;199.67
13508;9;45.22
14049;7;1950.01
14278;10;33.97
12738;13;43.45
15048;1;66.35
14653;6;611.02
13883;11;568.11
14112;9;447.31
14882;21;221.38
17542;4;83.54
17001;15;290.35
18083;6;147.3
13342;-2;7.05
15423;6;100.32
13113;6;911.92
16543;15;27.33
15652;5;364.27
16193;8;57.74
13946;51;95.51
16027;41;86.18
12406;25;166.47
16669;-1;1144.73
15486;40;2.55
13717;7;82
14716;3;85.05
17751;4;67.43
15257;5;159.9
14487;2;125.94
17210;4;72.94
12947;10;50.33
15091;7;96.89
15861;5;409.81
17419;10;353.55
13551;24;6.35
13010;26;21.41
14321;14;136.27
14550;7;136.06
13780;3;107.06
12615;11;565.73
17087;9;38.44
14925;-1;7.95
15924;6;53.46
15695;7;167.74
12844;1;204.21
17545;2;343.83
13614;3;313.64
16546;39;159.35
14384;10;5.85
15154;2;460.97
13448;7;2173.64
16755;5;372.72
17213;7;515.19
12678;52;735.04
17754;18;199.93
14988;5;428.89
13219;1;76.23
13989;19;50.47
12449;72;26.93
16299;7;38.45
15529;7;259.36
13823;8;645.87
14593;3;1324.35
17963;3;341.03
16133;21;1380.27
13053;2;52.75
17422;12;240.69
15363;10;91.79
14822;10;24.1
16362;8;37.67
13282;7;39.6
14052;1;216.25
15967;2;1331
17631;8;100.34
16549;2;4745.62
15197;19;81.25
12346;1;578.36
14427;11;386.42
15426;2;602.93
14656;1;422.92
17090;13;84.83
16196;6;14.85
18089;9;77.8
12887;7;61.65
15260;11;1085.27
15031;3;886.74
13491;8;665.03
17757;3;1682.67
17299;4;120.12
12721;7;369.98
14490;11;152.87
14865;38;2.2
14095;1;2.95
14324;9;126.21
17966;29;62.84
15094;5;15.25
16884;4;281.75
12784;8;263.12
13554;2;871.49
15635;2;37.7
15864;98;3.71
13929;28;180.95
18175;10;31.15
14928;10;38.83
15698;30;1.9
13388;12;126.3
17093;8;39.69
14699;9;93.36
15469;6;83.5
16239;29;40.6
16552;7;23.19
15303;6;221.08
12993;7;132.33
17760;8;145.94
14762;9;28.01
13222;30;2.95
14533;69;128.28
15532;2;1326.89
13992;15;15.6
17843;6;36.17
13763;69;94.51
17969;4;1060.05
17428;19;1321.23
15137;12;80.69
16136;16;15.23
15366;19;163.37
14596;1;192.78
16970;6;11.9
13056;8;90.74
13597;11;44.86
13431;10;321.37
18178;11;685.16
15741;5;48.44
14201;12;59.9
14430;10;173.1
15970;29;40.99
17096;7;665.6
15200;6;113.9
16638;8;134.32
13660;3;210.62
12890;3;120.24
17305;111;27.63
14264;7;354.58
14805;3;351.81
15034;6;1171.54
14035;7;261.07
15575;2;15.55
12724;12;219.66
16345;4;191.48
15409;4;37.8
13869;4;1665.22
17514;3;112.88
15638;41;101.4
14639;8;489.78
14868;12;129.82
16973;10;12.7
13162;24;434.26
16013;100;359.74
18181;2;419.03
14702;4;1368.89
17182;9;35.7
16641;8;47.55
17640;22;146.71
16242;4;1183.05
12392;10;35.25
15243;9;136.29
13703;0;233.92
15077;15;168.67
14307;10;396.9
15306;21;280.98
17849;4;173.72
15847;7;98.64
13766;8;35.26
17308;735;6.21
12996;5;126.1
14911;11;40282.4
18058;23;25.95
14370;5;345.24
15910;3;635.67
13600;12;56.45
15681;15;153.53
16518;6;131.3
15140;13;74.62
14204;2;518.87
12664;36;101.78
17726;6;223.33
13975;5;773.26
16285;1;92.6
13434;22;52.92
14745;12;201.62
17185;2;87.81
15515;18;20.12
17852;3;151.04
16853;-5;13.5
16119;15;125.96
14038;9;234.91
16348;11;44.88
14579;2;49.8
18061;31;271.66
15953;9;347.66
13872;5;265.99
14413;2;526
16521;4;606.44
16182;91;34.96
13102;12;738.65
15183;7;145.21
17062;5;216.13
17188;13;260.89
13706;6;111.69
17729;10;70.55
15246;6;54.8
18270;18;10.1
16016;2;521.11
15850;4;506.46
13540;5;177.52
14851;21;25.97
12770;41;71.98
15080;9;74.05
16856;9;48.43
17938;1;90.82
14310;10;51
17397;9;130.28
14685;9;668.79
17606;7;13.3
15684;5;70.3
16225;4;555.6
16524;4;182.55
18064;36;140.49
17065;6;40.6
14914;-3;1.95
15455;1;25.5
13374;7;102.75
14144;12;2.55
14748;8;261.13
13208;5;296.44
15518;6;660.23
15289;15;66.43
18273;60;2.55
16059;3;654.22
16288;2;61.05
17732;8;564.24
16733;9;34.54
17274;3;174.7
13042;4;638.93
17400;4;974.7
17941;171;10.92
15123;17;225.9
16401;10;334.91
15352;1;102.95
15893;288;1.06
16122;10;51.47
15956;15;36.9
15186;15;109.68
15727;7;1493.42
14957;4;56.15
17068;3;1809.92
17609;3;300.56
12876;12;238.38
13646;1;258.5
16736;7;640.18
17818;1;86.46
18276;12;196.42
13480;8;147.18
15561;16;170.76
16331;22;167.2
15020;4;89.41
16404;-1;12.75
16945;13;446.86
14854;12;226.18
14084;43;6.22
16165;2;39.95
17944;3;48.35
15999;24;0.85
13148;5;1774.3
17612;7;866.38
18153;11;23.74
12378;9;360.97
14688;10;400.22
16228;10;165.38
15458;24;8.7
15833;4;19.35
16822;12;46.68
14522;15;76.5
12982;7;575.97
13752;6;96.2
16062;10;324.54
17280;12;10.08
17821;27;16.91
15126;10;70.07
16948;19;57.86
15896;-1;1899.67
13586;1;81.04
16490;6;42.34
17157;15;383.9
14190;2;39.95
16271;7;367.33
15730;8;134.76
18156;1;163.99
12484;8;395.76
15564;10;8.87
16105;18;178.67
16825;20;105.54
16334;3;159.98
14794;4;335.67
17366;3;391.68
14024;4;102.69
13254;10;10.09
16168;14;991.65
14628;14;194.87
16493;14;135.38
17492;10;106.3
17034;8;79.35
13088;3;83.12
17160;12;690.36
16702;7;345.01
18242;16;112.43
16002;1;118.58
13692;19;97.39
14462;2;151.43
13526;30;55.2
17910;4;79.15
16377;285;2.63
14296;11;101.09
17369;1152;0.85
13360;12;305.61
14130;6;315.89
18036;2;668.09
12590;-1;7.9
15670;4;37.9
17578;5;232.64
14900;48;0.29
16496;15;97.93
17246;6;22.41
12424;19;139.08
16705;37;1545.991
15504;2;206.02
18245;11;613.07
14734;5;317.28
13964;9;77.68
13194;42;17.58
16274;2;286.6
17913;3;1240.92
13798;50;1164.56
17372;2;1356.17
15338;2;148.55
16108;9;301.59
16831;8;16.7
14568;13;92.97
17581;9;1327.74
14402;30;9.2
13632;7;286.14
16499;9;413.57
17040;8;1.69
12862;4;407.08
12696;11;212.15
13466;9;119.82
17790;4;217.62
14236;13;126.41
15006;1;244.12
17249;2;39.75
13758;16;788.94
14299;28;676.15
15298;12;579.43
17833;4;111.32
16834;16;34.22
16068;1;97.64
17292;8;71.77
14133;6;127.7
16960;3;729.03
15673;13;357.34
16502;5;174
18042;4;30.45
13363;10;114.54
15902;6;38.69
16277;1;149.99
13426;14;400.2
14966;7;296.93
18168;5;807.95
16628;6;33.6
13197;10;87.19
12656;9;408.47
17169;5;81.8
15736;11;356.78
17710;7;80.17
14737;25;112.39
13967;6;20.9
12490;13;662.74
14030;4;2463.57
15570;4;1756.14
15341;24;14.5
16340;3;368.09
14800;11;903.01
16111;3;229.11
14571;1;87.9
17378;0;21.9
13635;11;240.57
15945;12;105.22
17504;17;572.96
16174;18;73.4
17046;17;102.95
14634;15;264.46
13094;46;13.46
14405;50;3.9
13864;192;3.45
15404;20;27.51
16714;8;80.03
14468;13;63.47
14239;7;377.04
17172;26;33.67
13698;5;138.32
16008;13;566.35
18254;11;24.75
12928;15;181.9
17713;13;218.7
15779;2;66.84
14302;10;81.4
16383;3;960.86
16840;11;35.69
15613;25;46.18
17381;309;109.21
17922;6;37.05
15842;10;97.03
15072;12;18.35
14843;14;13.9
14136;10;315.28
13907;17;8.45
17049;6;1286.21
15447;6;93.83
16508;2;161.57
14677;9;33.18
18048;2;144.87
14906;0;203.86
17716;15;1031.77
16717;7;584.76
16280;6;60.9
16051;6;31.64
18257;7;456.25
17258;3;142.85
14740;9;537.41
13970;36;42.33
15281;10;1380.47
15115;5;43.63
14574;5;30.45
15885;4;438.42
16385;3;158.1
16926;1;635.71
17384;6;16.35
13804;10;82.24
13034;8;50.51
17925;72;3.39
15719;3;2324.35
17593;12;599.33
14408;37;41.63
14949;8;88.5
18134;4;137.7
15948;8;89.8
12868;9;109
17802;4;910.33
18260;12;1570.75
15782;51;41.14
16720;2;386.78
14783;14;44.77
15012;1;342.73
16323;32;5.19
13472;11;73.55
17261;2;113.34
16388;6;37.3
17928;20;6.1
17470;13;172.48
15387;16;43.3
15616;10;91.09
14846;13;31.77
13306;18;3.81
14617;9;25.77
14680;11;3219.81
17596;11;572.6
16220;-3;3.39
17138;8;891.36
12370;7;224.36
15221;5;390.35
18137;2;101.92
15991;6;41
13140;6;263.06
13910;-1;127.66
14514;7;638.18
15055;2;267.02
16054;7;565.4
17805;648;0.64
12974;3;111.96
15284;5;4.95
17264;2;132.45
15659;5;58.63
16932;1;217.04
15888;2;118.05
12808;7;93.85
17473;7;113.55
13578;14;17.73
14952;19;715.22
16600;14;184.44
17141;2;509.71
15493;1;1479.45
17682;9;292.9
15722;9;537.72
13412;5;163.85
14182;3;265.29
18140;7;122.77
16263;8;60.86
14016;12;947.05
16326;2;1068.43
17350;5;231.331
16809;4;229.75
17808;4;89.37
14786;16;7.04
13246;4;382.52
12476;10;1251.48
17476;6;217.09
17018;13;116.25
13080;5;57.75
15931;8;67.4
16477;10;260.08
18017;100;1.65
15390;11;147.51
14454;3;380.74
16686;2;1103.77
15224;11;56.99
15765;13;67.39
17685;22;157.35
15994;3;281.93
18226;14;1002.24
13684;2;206.39
12914;37;10.3
12748;4;10703.96
17353;104;22.5
15058;7;257.56
16369;10;189.75
17894;2;671.07
15599;12;63.34
16812;10;293.47
15828;4;336.24
15662;12;45.4
14122;5;73.98
14892;6;45.65
17021;20;139.49
12582;8;282.02
18020;3;63.5
16203;8;110.08
17230;14;645.48
18229;14;288.99
16266;8;227.91
16037;9;112.73
15496;4;58.09
12416;12;16.88
14726;4;37.85
17688;5;75.6
14560;26;506.93
17356;11;101.24
13020;6;139.76
16898;2;290.86
17897;3;724.4
16100;11;62.46
12854;6;504.7
18106;2;468.34
15164;2;690.23
17565;2;85.39
14394;9;15.6
15934;74;51.35
13624;33;75.03
15768;3;6277.08
17233;5;102.9
17774;4;1176.71
14998;1;251.43
14228;6;180.47
16692;363;2.1
13458;12;300.68
15602;13;231.03
14062;29;718.49
16901;1;140.89
17442;10;425.15
14832;0;920.01
16372;2;515.1
13292;5;133.89
16569;29;59.96
16206;6;599.77
13126;10;306.63
17568;4;98.98
13896;7;68.15
17110;2;150.9
18109;2;820.43
12356;21;261.38
15270;14;860.95
12960;19;144.12
17236;6;278.71
16040;7;254.85
16695;5;78.15
13564;6;3821.76
15874;10;1633.93
17445;-1;506.51
14334;12;281.74
16904;2;656.94
17113;4;724.28
14168;8;60.25
14938;17;239.57
18112;5;118.52
13398;4;68.55
15708;3;491.91
15542;1;665.08
17239;20;54.7
16781;4;242.95
17780;1;255.87
12691;7;37.55
16312;5;56.2
12525;6;284.46
14606;2;11247.37
17448;10;2415.5
16907;2;348.12
16146;9;28.7
13836;8;140.36
17989;9;65.62
14440;13;391.47
12359;7;562.78
18115;1;9.7
16575;-1;10.49
17116;8;72.13
15210;13;190.91
15980;42;150.46
17657;8;15.75
12900;10;47.02
15044;5;2576.11
14274;11;25
17325;12;111.21
16784;3;321.56
15814;17;77.47
12963;8;332.44
17783;3;67.4
12734;11;68.15
14108;14;41.2
13338;7;717.14
16452;11;33.49
14878;5;714.45
12568;9;31.17
16993;9;233.85
12797;6;170.07
17992;2;126.33
17660;3;106.34
15482;29;2172.54
18201;7;124.99
16661;3;257.97
12631;8;437.87
12402;8;207.9
13401;-1;1834.14
13942;1000;0.32
14712;13;30.65
13172;48;1.45
16252;0;134.2
14546;3;996.4
16086;10;302.64
16787;4;397.07
17328;14;11.3
13776;0;1588.13
17869;7;317.02
15920;2;197.91
13610;2;656.99
12840;11;150.96
14380;0;197.65
16455;16;347.67
13069;13;1370.36
15150;10;622.2
16996;7;124.24
17995;4;100.92
17663;9;762.54
14984;19;74.07
15754;14;414.03
16664;3;42
17205;60;23.25
13444;5;136
12903;12;93.59
16873;20;559.38
15588;24;24.15
14818;3;207.23
13278;12;120.31
12737;1;3710.5
16358;16;86.53
14048;3;178.56
17872;11;34.24
16192;18;22.92
16541;4;144.35
13112;0;13.47
15422;5;420.63
17540;10;110.05
13175;7;207.2
14486;15;11.7
15256;9;8
17749;5;133.26
18207;8;111.85
13945;8;171.85
12946;7;66.35
17208;4;45.84
15860;3;719.85
17875;3;72.38
14320;7;243.64
13009;30;7.8
12780;14;60.74
17417;4;43.64
13779;1;108.75
16876;5;63.55
13550;10;73.72
17085;3;2329.17
15694;11;402.21
12843;17;573.39
14154;11;740.99
16544;3;38.74
13613;7;234.35
14924;11;151.66
17543;4;45.2
13384;14;360.06
18084;2;32.35
17211;6;446.43
12677;7;90.95
14758;6;349.74
13988;5;179.18
14217;6;513.17
16298;4;118.45
15362;9;144.48
17961;2;1099.76
14051;16;493.45
13052;5;855.83
16132;16;76.95
13281;6;64.61
16421;3;254.29
16879;-1;140.96
12511;9;668.83
17420;8;99.9
18087;43;279.41
15196;3;105.15
13115;11;515.16
14426;11;1331.09
14655;20;186.86
13656;9;135.41
16547;4;58.32
15966;8;70.66
17629;8;130.45
12949;11;1639.56
15030;30;112.23
13490;3;75.25
15800;2;310.37
16756;8;225.37
14489;10;162.55
13719;5;585.91
14260;10;156.11
12720;9;493.68
17755;-3;34.37
15093;33;568.49
14864;-8;8
13553;2;330.65
13324;52;212.36
12554;9;99.43
14094;3;126.89
17423;19;25.55
15634;6;68.1
16424;15;26.75
17964;5;124.66
17091;7;815.47
17632;-1;12.7
14157;6;119.75
12388;11;134.64
18173;36;40.63
15468;21;159.94
13387;1;140.41
16238;14;4.85
14927;9;46.6
13158;9;43.99
17841;2;15617.09
14532;3;1118.06
13762;83;33.35
15302;6;91.45
12992;3;27.3
12451;17;361.07
16072;2;1996.51
17300;10;88.93
14761;6;41.91
13825;4;110.3
12826;12;178.37
14595;7;58.65
15365;10;358.88
14366;16;8.5
15906;3;412.05
13055;11;168.57
17967;1;157.28
16636;29;191.32
13659;8;787.61
14970;5;411.95
17635;10;206.69
14200;6;83.25
15199;13;159.2
12889;4;137.23
17177;1;98.55
14429;13;53.27
16344;15;81.02
15803;17;131.18
16845;8;68.86
12494;7;161.99
15574;2;437.22
13264;9;123.04
14263;10;37.74
14867;6;653.99
17512;28;174.29
15637;20;80.46
12557;95;54.23
13327;12;738
14097;8;87
18053;7;52.75
